Model year,Make,Model,Vehicle class,Range 1 (km),Recharge time (h),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating
2024,Ferrari,296 GTB,Two-seater,13,2.5,13.2,526,247,5.0,6.0
2024,Ferrari,296 GTS,Two-seater,13,2.5,13.2,504,251,5.0,6.0
2024,Ferrari,SF90 Spider,Two-seater,13,2.5,13.7,500,257,4.0,3.0
2024,Ferrari,SF90 Stradale,Two-seater,14,2.5,13.4,513,251,5.0,3.0
2024,Ferrari,SF90 XX Spider,Two-seater,13,2.5,13.9,497,258,4.0,5.0
2024,Ferrari,SF90 XX Stradale,Two-seater,13,2.5,13.9,497,258,4.0,5.0
2024,Ford,Escape Plug-in Hybrid,Sport utility vehicle: Small,60,3.4,5.9,771,49,10.0,8.0
2024,Hyundai,Tucson Plug-in Hybrid,Sport utility vehicle: Small,53,1.7,6.7,626,62,9.0,7.0
2024,Jeep,Grand Cherokee 4xe,Sport utility vehicle: Standard,42,3.4,10.0,719,110,8.0,7.0
2024,Jeep,Wrangler 4xe,Sport utility vehicle: Small,35,2.4,11.7,557,143,7.0,7.0
